idx,매물ID,상세링크,error
325,41199023,https://fem.encar.com/cars/detail/41199023?advClickPosition=mweb_mhightlight_g75_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
326,41024654,https://fem.encar.com/cars/detail/41024654?advClickPosition=mweb_mhightlight_g76_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
327,40980060,https://fem.encar.com/cars/detail/40980060?advClickPosition=mweb_mhightlight_g77_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
328,40566833,https://fem.encar.com/cars/detail/40566833?advClickPosition=mweb_mhightlight_g78_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
329,40425520,https://fem.encar.com/cars/detail/40425520?advClickPosition=mweb_mhightlight_g79_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
330,39400739,https://fem.encar.com/cars/detail/39400739?advClickPosition=mweb_mhightlight_g80_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
331,41518812,https://fem.encar.com/cars/detail/41518812?advClickPosition=mweb_mhightlight_g81_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
332,41568792,https://fem.encar.com/cars/detail/41568792?advClickPosition=mweb_mhightlight_g82_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
333,41493487,https://fem.encar.com/cars/detail/41493487?advClickPosition=mweb_mhightlight_g83_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
334,41422767,https://fem.encar.com/cars/detail/41422767?advClickPosition=mweb_mhightlight_g84_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
335,41393381,https://fem.encar.com/cars/detail/41393381?advClickPosition=mweb_mhightlight_g85_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
336,41389351,https://fem.encar.com/cars/detail/41389351?advClickPosition=mweb_mhightlight_g86_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
337,41348201,https://fem.encar.com/cars/detail/41348201?advClickPosition=mweb_mhightlight_g87_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
338,41638672,https://fem.encar.com/cars/detail/41638672?advClickPosition=mweb_mhightlight_g88_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
339,41634059,https://fem.encar.com/cars/detail/41634059?advClickPosition=mweb_mhightlight_g89_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
340,41619340,https://fem.encar.com/cars/detail/41619340?advClickPosition=mweb_mhightlight_g90_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
341,41633342,https://fem.encar.com/cars/detail/41633342?advClickPosition=mweb_mhightlight_g91_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
342,41616141,https://fem.encar.com/cars/detail/41616141?advClickPosition=mweb_mhightlight_g92_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
343,41627389,https://fem.encar.com/cars/detail/41627389?advClickPosition=mweb_mhightlight_g93_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
344,41609696,https://fem.encar.com/cars/detail/41609696?advClickPosition=mweb_mhightlight_g94_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
345,41609112,https://fem.encar.com/cars/detail/41609112?advClickPosition=mweb_mhightlight_g95_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
347,41572339,https://fem.encar.com/cars/detail/41572339?advClickPosition=mweb_mhightlight_g97_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
348,41579545,https://fem.encar.com/cars/detail/41579545?advClickPosition=mweb_mhightlight_g98_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
349,41652461,https://fem.encar.com/cars/detail/41652461?advClickPosition=mweb_mhightlight_g99_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
350,41652548,https://fem.encar.com/cars/detail/41652548?advClickPosition=mweb_mhightlight_g100_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
351,41652063,https://fem.encar.com/cars/detail/41652063?advClickPosition=mweb_mhightlight_g101_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
352,41560292,https://fem.encar.com/cars/detail/41560292?advClickPosition=mweb_mhightlight_g102_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
353,41465203,https://fem.encar.com/cars/detail/41465203?advClickPosition=mweb_mhightlight_g103_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
354,41399802,https://fem.encar.com/cars/detail/41399802?advClickPosition=mweb_mhightlight_g104_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
355,41415400,https://fem.encar.com/cars/detail/41415400?advClickPosition=mweb_mhightlight_g105_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
356,41382773,https://fem.encar.com/cars/detail/41382773?advClickPosition=mweb_mhightlight_g106_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
